aa,frequency
ALA,0.05721015735238727
ARG,0.0722809068984321
ASN,0.04540900939392065
ASP,0.06008623742839314
CYS,0.013198711498136395
GLN,0.05698191487567531
GLU,0.09237973701519556
GLY,0.05472085270489822
HIS,0.027697168331637444
ILE,0.04110051101579146
LEU,0.08341644132875349
LYS,0.0850512421225426
MET,0.022196861947032003
PHE,0.031345674917501024
PRO,0.04767344460622551
SER,0.06536617176651807
THR,0.052125859422872595
TRP,0.00941078586245861
TYR,0.031226494116853402
VAL,0.05112181739477516
